drop,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63,e64,e65,e66,e67,e68,e69,e70,e71,e72,e73,e74,e75,e76,e77,e78,e79,e80,e81,e82,e83,e84,e85,e86,e87,e88,e89,e90,e91,e92,e93,e94,e95,e96,e97,e98,e99,e100,e101,e102,e103,e104,e105,e106,e107,e108,e109,e110,e111,e112,e113,e114,e115,e116,e117,e118,e119,e120,e121,e122,e123,e124,e125,e126,e127,e128,e129,e130,e131,e132,e133,e134,e135,e136,e137,e138,e139,e140,e141,e142,e143,e144,e145,e146,e147,e148,e149
27,-5.1118,12.8445,-1.0671,0.9436,-5.7335,-2.3944,-6.4552,4.9077,-1.3099,2.8133,-3.4229,-2.5057,6.4409,-4.8585,-9.0072,2.0312,-5.7067,-2.1973,4.5579,-4.093,4.3923,-3.4061,7.4534,6.6255,-2.357,-1.0661,-4.1597,1.0,5.7459,-7.2338,4.5872,-6.6197,-4.2986,-8.9385,10.5247,0.2935,1.2238,-3.3806,5.3348,-10.5159,0.1333,11.0336,-1.9103,0.0857,3.3612,-4.0573,0.1142,4.805,0.972,1.8549,-1.7472,1.578,0.2788,7.2753,3.622,-1.2184,-12.2341,3.5786,3.7763,-4.5845,-9.9918,-5.709,4.6309,-5.3239,-2.2976,1.102,6.1218,-0.0908,-0.5019,-2.7442,8.1533,5.3298,-0.4756,-6.9829,-3.9514,2.8974,-3.6074,4.4614,1.8073,1.4633,3.2672,2.4929,-4.2759,-1.6292,11.6991,-6.0393,-2.3727,5.3285,-0.7963,-4.0606,-6.6159,2.6801,5.0995,6.9995,0.2689,5.2249,-5.1647,0.8401,-3.3869,0.8692,3.7536,5.3486,-4.9495,6.3374,-2.3719,-5.1287,-0.853,-7.3128,0.0229,1.4485,-1.0019,2.6808,-1.5734,0.0203,-7.2033,0.2134,-4.2552,-2.2489,-0.4684,0.9549,-8.2333,-7.8171,-1.5099,2.3719,1.8012,4.4639,6.5054,2.4822,-0.0993,-5.1573,-4.7303,-2.3359,1.3374,1.1037,0.0212,-0.7636,3.1525,1.0417,1.4892,1.5422,-2.7315,-5.1542,2.4556,2.0836,-1.1001,-2.0787,11.3921,-3.796,-1.0877,1.3275
28,-5.7712,0.5862,8.9887,4.6693,3.161,2.9621,0.5598,4.792,-0.7793,-2.114,0.5102,4.5285,1.6521,3.3727,-10.1206,5.9653,11.703,6.6745,-1.5881,-4.2422,1.3873,-4.9349,3.6284,-2.6271,4.8033,6.8107,-10.1613,1.4639,-3.4914,-7.0489,-3.0867,-1.0947,5.1684,-7.607,5.2541,10.0903,2.9872,2.7297,-0.0671,-5.8752,2.6741,1.9201,3.658,12.8442,3.6389,2.1286,7.8097,-6.7261,-5.7135,-1.876,-3.2746,3.4697,-1.5872,8.6997,7.6022,3.8504,-1.93,3.0848,4.0553,-5.3329,1.7439,3.5306,1.0823,7.8556,6.0708,-4.1279,0.6224,-4.1776,2.8978,-4.3357,4.6166,1.9407,4.8542,-0.7254,-7.2815,8.8292,-0.8628,6.8835,2.1509,3.3696,9.1487,1.7012,7.0012,-7.4216,4.3555,-1.2094,-0.6703,0.0436,1.7326,8.2858,-9.2686,0.2202,-3.5824,5.8291,-2.1155,2.2839,-1.9875,3.3403,5.074,-1.987,0.2454,-7.1018,1.527,4.2813,-2.777,5.6018,-10.3666,-9.2567,-6.9412,-2.424,0.0931,-0.3943,-0.3355,3.6179,-2.3606,-6.3179,-6.2189,10.5633,-11.7606,-0.8816,7.2895,2.4168,-4.1478,0.0109,4.3196,6.0407,-4.4967,3.8023,1.2625,5.522,6.9521,-1.7165,-7.248,1.9792,8.8831,3.4279,1.1508,12.0052,-5.2001,4.515,-2.8522,0.2482,0.4482,7.5732,-4.6801,-2.6754,-7.9648,2.436,-2.2912,2.1098
29,-5.3663,-1.7969,5.1946,-0.8716,3.1282,2.6416,-1.7659,-7.7987,4.927,0.8535,4.9164,-10.0634,-8.273,-10.7136,-4.3842,5.2097,2.83,-0.1708,0.6562,3.8039,-1.5108,1.9803,0.6998,-10.9352,-1.9241,6.7938,-1.9793,-0.7154,-3.0343,-2.4232,5.6201,-1.3404,-5.1097,-15.5568,-2.8635,-9.8341,-9.1187,3.9759,3.5434,-9.5861,4.2574,2.2968,-3.9178,3.6719,-8.1332,-6.0221,-7.1984,-5.5575,4.3934,-6.6681,-5.7565,-4.7585,0.9773,-1.6985,4.3117,-3.5568,-6.4471,-2.5207,0.1743,-4.6705,1.37,9.0567,-2.9411,0.1815,6.7165,-3.289,-4.2903,-5.5279,1.9264,2.5041,-0.8159,0.1329,6.2855,4.2482,-7.1012,-0.1475,0.4209,3.4898,-1.2323,-3.347,-2.4151,-9.0192,-0.2608,-3.1201,2.1917,-5.2763,-2.3291,-5.0462,-5.4876,3.3366,-2.4911,2.0508,-5.7701,0.3076,-8.6267,-2.5767,-2.7025,2.7197,0.7029,-1.0751,3.9841,0.7499,2.4796,3.6202,-0.5445,-1.6815,1.418,-2.3011,1.7169,5.3137,4.0456,-2.1289,-6.6422,-0.5047,-0.8545,5.2939,-2.1402,-1.2737,3.44,-2.6151,-1.0277,8.3221,7.2023,2.9084,1.1055,-5.0711,2.5514,0.054,0.8656,-2.8233,-0.2959,-1.1555,1.3383,6.8896,1.568,-8.5106,-5.0787,-8.1408,-4.1964,2.5516,1.7625,-3.2276,1.0912,-4.0159,-7.3275,-7.2561,-4.5262,6.8481,-6.9316,5.9619
30,6.3827,-1.1524,-0.4898,-3.3051,-0.3704,3.0362,-0.2044,4.7243,5.6687,1.4608,1.3785,-0.5616,1.4725,-5.8165,1.7666,0.7669,-4.5604,10.4799,-5.1085,-4.5949,1.1293,-9.9273,-4.2105,-7.8696,-5.0852,-0.9255,1.3298,5.2435,3.7572,5.6454,2.6697,-2.6048,5.2981,-2.7052,-3.3347,7.3632,3.6631,0.8238,3.4832,4.1147,-7.0763,-0.7422,-6.1615,0.3357,-3.6253,6.5094,2.3143,-4.3299,-0.3683,-6.3268,-0.0741,2.4556,1.037,-9.9172,-1.9537,2.2619,1.2483,5.5103,-6.703,2.3345,-3.5345,0.6918,1.7432,3.1483,-3.1672,0.6393,-6.1231,-7.3349,2.4893,-0.558,-8.377,-4.5356,-0.1928,7.4841,4.9334,3.7001,-9.2123,-0.776,2.0944,1.6778,1.7884,-1.4565,8.4947,7.0875,-0.7602,-5.1886,9.9731,-3.0539,5.6898,9.2511,-5.0076,1.16,-2.0297,2.2813,1.3092,9.4328,2.6576,-0.3361,5.3355,-1.652,-2.1187,10.8975,-4.3969,-2.737,-0.0731,-5.5766,-10.8371,4.9842,-4.2163,-2.9989,-2.1551,-5.2007,-5.6635,0.5101,11.6941,3.3879,3.4402,-7.8209,-0.4148,-6.2106,3.5665,-1.4345,-0.1035,-0.737,-3.2121,-7.9014,2.6034,-7.2095,-6.1981,-1.7829,-3.8252,1.0137,4.7574,0.9494,0.6906,-0.1784,3.9952,-9.5241,1.5407,-4.9591,-6.4596,-0.2708,-2.2315,2.6214,5.2088,-11.9233,-0.6567,9.4967,4.0429,6.9369
31,0.214,-7.4714,-5.9197,3.2636,4.4995,-3.9524,-1.6363,1.013,-9.0455,-2.0447,7.7964,10.6335,-0.8357,8.8634,-2.9194,-4.3456,-11.4853,4.4907,-2.1642,11.4053,1.3646,0.6499,-9.3231,7.209,-2.1053,-1.096,-11.3225,4.3419,4.6546,-3.3179,0.177,1.6758,4.5286,0.2371,8.3289,-1.4963,-3.3153,-2.6168,-12.971,-4.3163,4.7538,1.0441,-4.3727,1.471,-10.3699,-1.7,2.3496,3.2155,-4.147,4.2911,9.0757,-2.4061,3.4335,-8.0586,-10.0807,2.794,-0.0527,0.7323,-3.1814,-1.734,3.7905,8.3285,-1.3454,-8.5162,6.1124,2.7538,3.1513,0.6522,11.3611,0.1204,2.3148,-9.5263,-3.1531,-3.6921,-0.4058,1.4852,-4.0052,8.4026,-5.5854,-2.5097,0.936,-6.514,2.5985,2.9098,-1.7191,9.2944,0.153,1.1503,-5.0599,-8.633,-3.4132,-1.8646,-2.5345,3.5901,-12.1954,-5.9292,-9.393,6.4568,-3.0828,-2.8314,-5.7677,4.245,-2.315,0.8561,-10.4337,5.6067,1.7225,2.5091,5.9353,-1.218,-1.0871,3.3432,1.8862,-1.4746,-0.0279,-2.7724,3.3316,4.4281,-0.2201,9.1616,-7.9473,-1.4128,8.3258,-2.3546,-8.2577,6.7474,2.491,-6.2243,3.6412,-5.3651,-6.956,-1.0023,-2.649,-5.7404,-2.0712,-5.2727,0.0619,-0.3539,3.496,-2.5169,-6.9121,-6.8504,-1.4696,7.4622,4.0164,-3.4509,4.4855,-6.0502,4.8432,-2.1556
32,3.6174,2.8853,-1.6254,1.4076,-5.5844,-0.6049,5.1959,20.308,3.2909,0.2074,-5.3104,5.0776,-8.538,-4.2573,1.5635,-6.2763,7.4916,5.249,-3.0811,-3.0161,-6.8449,-7.2551,1.9886,2.8964,1.5314,1.1021,-3.0409,1.5764,-7.6139,-0.1894,7.163,6.4059,-2.5549,-1.9068,6.6825,8.7384,-7.7381,-2.3698,0.9454,5.8849,-4.4344,2.9943,-1.7362,11.6938,1.93,-0.904,-1.9092,5.0716,3.182,-5.6622,0.863,-6.9471,-4.0207,-6.7249,-6.8815,-3.6733,-5.1456,2.4249,3.775,-1.4244,-5.8435,3.8129,-10.3866,-9.9209,3.4277,3.0699,4.6684,-1.3075,-6.5572,-2.7814,2.6226,-4.0728,-3.7496,-7.2266,-6.0673,4.0096,2.0581,-6.056,-5.6479,-3.0465,2.5282,-6.091,-1.0704,-10.994,-6.5363,1.8892,4.2852,-6.0298,-4.1074,3.7833,-2.1823,-2.9413,2.3834,0.7619,5.3611,3.7661,-3.1124,-0.8173,-0.5211,-7.0282,-5.1064,4.6608,-8.1863,4.7765,1.2161,-0.9134,2.4864,2.1758,5.8538,-2.2234,-1.36,-1.4471,9.2344,4.5338,-4.8486,-1.8834,-3.7504,-0.1399,0.8664,11.2991,-9.3638,4.9554,1.9867,-3.7248,-0.952,-2.6869,0.0525,4.8527,-7.8127,6.3916,-2.0682,7.3433,1.8748,5.9953,2.6498,5.2562,0.0973,-4.3536,3.1887,3.3834,10.3439,-10.2254,-1.1668,5.1467,-6.4575,-1.3142,10.4426,6.9304,-4.578,6.9813
33,5.7688,3.7313,1.747,1.0328,-4.5182,-2.7465,3.5149,0.55,9.1115,-1.8246,-12.177,-1.8245,1.2408,1.7679,0.1924,-4.2652,7.3419,-3.4691,3.4186,-1.5789,-6.1349,6.9399,-12.7005,-4.3977,2.0329,-1.9163,3.6273,-0.6269,-2.3928,10.6921,-1.2222,-0.9103,-5.5368,-3.8584,3.1344,2.708,-0.102,-3.6127,3.3261,-8.6275,-1.812,-1.3633,-4.3307,0.6685,-3.4335,-4.1091,8.9272,3.6231,5.9189,0.1793,4.75,3.8348,5.9997,11.7795,-1.1953,1.2369,-0.3134,-17.6337,-7.0349,0.0462,3.123,-2.9219,5.6384,6.3832,-2.1006,7.0892,8.7299,2.295,-4.9321,7.3205,-0.8384,-1.9052,0.5673,-2.701,5.3522,3.8786,6.0896,2.9018,-3.9733,-0.7982,4.3769,-2.0347,14.5999,-1.2115,-2.9319,5.7445,3.7387,-0.1396,-1.1512,2.1325,4.1777,3.8136,-1.5083,2.1596,4.2198,3.8249,-15.4317,-4.4513,-3.8793,-1.1516,0.8954,4.6072,3.0884,-0.6348,0.1157,8.7956,-3.0638,1.5224,7.8275,1.7296,-10.2176,1.8746,-1.9368,-0.5655,5.2551,2.3477,-1.3202,4.46,2.1764,0.5257,1.505,1.2656,-1.6976,-2.2955,0.1258,-4.7712,-6.2944,6.5046,-1.1985,-0.12,-0.6752,0.117,0.1136,0.3256,-4.0247,4.6601,-3.4605,5.1745,-9.5941,-5.3076,4.9606,-0.7408,-3.3551,1.8759,-5.2276,0.3844,-11.0758,-2.2618,-3.2492,2.6981
34,4.3789,-4.2727,8.0446,-2.9602,-10.2796,-11.8985,7.6948,-0.4377,-3.2366,-3.7395,-5.4611,6.7612,-0.4194,8.951,-0.995,-11.7515,4.2222,-1.841,-1.1854,7.8364,-1.3169,5.81,-0.025,-3.7599,2.5366,-3.0034,6.1415,4.7994,0.3137,3.0495,2.823,-1.3781,4.4757,-1.1365,3.081,-4.7517,0.5101,2.0805,-3.9423,-2.0716,-2.6552,3.6532,-3.5842,2.2087,7.6439,1.8057,-8.0345,0.6551,5.233,-1.4003,5.5787,3.1244,2.1411,-1.2694,-2.523,-1.2401,0.3573,2.6595,2.1487,-1.4567,0.3768,1.9906,-8.0703,-3.7852,-3.9372,-0.9602,-1.3166,-1.2265,-4.2991,3.43,1.4571,-8.1443,0.1376,-5.5593,8.5851,-2.2033,-1.893,0.4965,-0.9219,-0.2126,7.817,1.2115,4.2571,5.7193,-4.7893,8.5308,3.5267,4.872,-4.2298,4.1745,2.1556,-2.5965,11.5041,2.9244,-1.1059,1.0617,4.6436,5.7443,3.002,6.1806,7.4458,-6.0781,-2.332,-4.6008,0.5837,7.3142,3.3642,-5.1295,-1.3689,5.2424,-2.5575,-0.3835,1.6222,-9.0075,3.998,1.8116,2.9426,-4.7933,-3.74,-2.8842,1.3528,0.4517,0.7391,9.0586,6.6274,-3.4951,-3.1675,8.6786,-1.4849,6.9942,8.0931,-2.6117,-1.2474,0.5142,-4.2188,-4.7893,-1.906,4.3635,-2.1395,-0.9316,-2.2262,-6.7242,7.5219,-11.6112,-3.1704,2.8936,-6.8792,3.1237,6.3616,-4.1988
35,1.1426,-5.4533,2.6336,0.54,1.1756,6.9285,2.4533,6.8271,3.2679,-5.9011,1.404,2.5444,-7.1312,6.7644,0.437,1.9372,-4.3858,0.4596,1.5959,-1.5347,0.4997,-10.5016,6.906,-5.4752,-10.8157,-4.7068,-4.0796,2.813,-4.4749,1.515,-4.7044,11.1279,2.8189,9.8729,-4.9814,3.4092,-4.691,2.9816,3.4785,-7.885,-5.5966,-5.7467,-7.4347,-3.5729,-4.7203,-7.1466,0.5666,2.8041,-6.4988,-2.7119,0.1112,-1.089,-3.4348,4.1185,4.3005,3.4629,-0.9786,9.994,8.7635,-1.9499,-0.5421,5.9997,-3.9405,2.0486,0.2857,-3.4624,-1.1049,-7.8062,-2.6641,-9.9266,11.4496,7.5768,6.1902,1.5557,5.0371,6.4038,5.121,4.6315,-4.5227,2.1797,-2.6379,-5.8695,-5.6752,2.1691,5.2939,-6.8118,8.7534,7.3706,-1.8798,-2.2938,-0.345,4.9253,-1.8979,-5.5159,1.7318,-10.3138,0.7145,5.804,1.5352,3.9076,2.4734,3.6432,0.7285,-4.1456,-1.1217,-0.3663,6.2943,8.1307,2.1031,-3.7638,-3.6484,-0.9375,6.944,1.6729,-0.2767,-3.8251,4.4119,1.4469,-0.2539,0.5171,8.4326,-0.8019,8.4423,6.2114,0.2617,4.4194,-0.6189,-4.1419,-1.3395,-4.5362,2.5572,0.0736,2.8392,4.1334,-15.6012,1.5575,-9.0084,0.8332,-4.3869,0.5212,6.8273,-8.539,0.9533,-0.3921,-9.4611,3.2399,0.1711,-2.5437,-3.6089,16.0628
36,-1.9693,-9.0016,-4.6545,-1.8331,-1.922,-0.3943,-5.2349,2.7077,-2.4189,-6.8036,-4.0779,-1.9233,4.2431,2.4226,-1.6901,0.0985,1.0757,10.1936,-3.0881,2.3353,3.6318,-4.7653,0.9461,0.8172,-2.349,2.8379,5.1425,5.6511,-0.9591,0.9494,11.7533,-5.5182,1.1093,4.4499,0.7506,3.2799,0.8634,3.7683,6.4128,-1.107,0.9875,-0.2761,-2.0181,-0.0982,-5.6582,3.7226,8.5122,8.5226,6.3793,-4.8206,7.5989,-3.5771,-0.2653,9.2309,-5.3595,4.2065,1.4063,-0.7605,-4.3802,2.1125,-2.319,5.2263,6.1214,-6.8965,-2.5263,-1.5954,-5.9086,-5.5895,0.4433,-1.0403,-8.2592,-2.6906,2.5945,-6.0312,-4.618,7.9384,6.5861,-8.1052,-6.7549,1.8863,-5.9575,-1.2639,-2.2564,2.8008,-12.6437,-11.0125,-6.131,5.0694,-0.7717,-8.5411,2.4649,3.5384,-1.2293,-1.6528,2.1882,6.0473,0.7622,2.6655,-0.2411,-1.9064,-4.5796,1.2815,-1.501,-1.2182,4.6486,2.44,4.3505,-7.8782,2.7919,-2.9493,-4.0412,-4.2608,6.057,4.1393,-3.5845,-5.6879,0.0686,-2.2979,8.2978,-7.3064,-9.1493,-1.2788,0.0537,0.6631,3.7671,10.3667,-1.7117,-2.7218,-8.7962,1.217,4.267,-1.3022,5.9031,0.1514,7.5743,1.6657,-5.2858,-3.1841,-7.6687,-8.6853,1.3346,4.348,9.7713,-0.2759,-1.1843,-5.5452,4.9366,1.9459,-2.9757,3.4427
37,2.8067,-9.3498,3.7135,0.6805,-1.9574,-2.0854,8.742,7.6798,9.1297,-5.7433,-3.2725,4.5274,-6.0423,-3.601,-9.0213,9.2655,5.3134,2.2926,1.0961,-2.0857,-1.9894,3.0784,-3.5589,6.137,-2.4629,-4.3674,6.4901,-0.7199,2.7744,-2.0747,-11.2505,2.736,-6.7334,5.4111,-7.7541,-9.3243,1.5382,2.1264,0.5334,-6.0679,4.4427,-7.3234,-2.3213,-3.9406,-1.8884,4.2639,-3.1704,2.822,3.4707,-8.5552,-5.8329,-1.9168,-2.9606,1.5384,-9.6583,3.603,3.7229,-0.8412,-6.9153,0.0279,-2.6875,2.8332,-0.4271,3.6411,-2.1666,7.2131,-11.5238,-5.0809,2.4541,-7.5546,3.6797,-6.0836,0.466,-4.5738,-2.206,0.8731,-0.5237,-1.9066,10.7656,0.0423,-4.8498,4.638,4.1033,6.1146,8.9363,-4.6967,5.2976,5.698,0.0018,1.2258,-15.0139,-2.8697,8.9398,-8.9342,-2.6785,1.4397,2.8778,8.1577,-8.8141,0.2138,4.2984,-6.5682,-0.1984,9.424,6.5825,2.6975,-13.0704,-0.6517,1.9321,-1.5424,-0.3272,15.4171,-1.0723,-4.8482,1.2143,-1.5784,-1.5487,-0.4355,3.8702,1.1875,-6.0072,-0.6635,2.3722,-2.3386,5.7447,3.8856,-4.9538,1.599,9.9189,7.8009,-0.2814,4.4881,-3.3693,-7.2404,2.7716,1.2327,2.5708,-0.1235,1.6299,-2.5646,2.3663,4.1654,-0.292,4.0707,-8.8547,-3.9311,7.2226,8.8084,1.253,-0.5168
38,-6.3398,1.8179,3.8922,-7.4089,2.7945,2.4533,2.2043,-5.6376,2.7092,-7.4897,7.443,0.6759,-5.8183,6.7259,5.7701,-3.2522,11.0205,-5.0207,1.5671,5.9122,-11.3534,5.0073,-0.3236,-0.0785,-5.3843,1.6576,-5.5489,-4.8423,-2.2387,-6.1367,7.8637,-6.6436,-3.7739,-1.5818,0.0179,3.9617,4.0915,-1.5143,-1.9204,0.1752,4.1102,3.4874,-2.5818,-10.296,10.7153,4.7572,1.3166,1.7022,-2.608,-5.0053,-1.6624,-1.1123,-3.1262,-7.2858,-1.5629,2.8828,-2.4745,0.1099,-10.3537,-1.0381,-0.6098,-6.1304,-8.6477,2.0591,-4.0483,2.4418,-2.101,3.116,-1.694,-7.5331,-0.4323,-1.6413,3.2869,-2.253,-1.9654,4.2994,5.8316,3.7972,5.189,2.271,3.8518,4.3913,2.0188,0.3147,0.7108,12.0243,0.0684,-1.184,-1.8213,-0.1667,1.221,-5.6557,-9.9028,1.4763,-8.0303,1.2936,0.7031,5.7645,8.351,1.8384,-2.7697,-5.8739,-3.9588,0.1999,-10.3468,0.3762,-0.0603,3.2222,-1.6731,0.5102,-3.6807,-2.3201,-8.8662,0.6182,7.7437,0.8132,1.8292,-4.9082,7.1565,-3.8351,4.0089,0.5367,-4.7956,5.1359,0.0769,0.8936,2.2607,-0.1075,-1.8936,2.3309,-2.0238,0.3268,-3.3384,-7.4505,-3.3659,-2.4757,0.074,5.922,-8.4474,0.643,-11.0596,-5.2293,-2.5353,-11.2654,-9.2886,0.7702,0.3888,-0.5689,-4.0186,10.7719
39,-0.8062,-4.3106,8.392,3.0715,-1.8547,5.9634,0.7833,3.2157,1.174,-5.1421,4.856,0.8023,-5.047,-3.8146,4.7767,-1.8469,0.2321,3.2726,0.6416,-7.633,3.187,4.6919,4.3332,8.0841,1.8214,3.8852,7.9465,-1.4536,8.6819,8.6732,3.9154,9.1984,4.2597,-4.4035,5.6869,1.632,2.0674,0.773,6.798,2.7618,-3.479,2.4291,3.6463,-3.6279,-2.1713,-1.9153,-3.0367,1.744,5.0887,9.4618,5.9734,5.1104,5.716,6.6764,-1.8836,3.468,1.6112,-0.6467,-2.2748,-2.5264,-1.34,-6.1739,2.6086,-0.1094,0.5301,1.6935,3.6246,-2.9588,-0.5314,-8.0425,-11.0993,-9.7025,7.6841,-9.1319,2.361,7.3861,-2.2888,8.149,9.2364,4.7267,11.863,3.1137,-3.6424,2.6205,-2.2036,-6.4995,-6.3617,11.5806,-2.6807,-0.0917,-3.2849,0.7259,-1.1516,-2.0057,-6.0088,-7.0129,-3.665,1.5218,10.4437,5.3308,9.1837,2.4969,-0.3617,-6.5484,0.0907,-10.6411,-1.4175,8.2269,1.7336,5.7338,-1.8157,-6.7838,-2.2955,-1.8813,6.1322,9.9837,-3.5937,-1.6845,-0.6146,-1.6294,-6.1028,0.5837,1.9311,2.0516,-5.9081,-0.4434,-8.5721,4.6962,-4.9679,-1.2402,-2.1111,-2.7808,-5.1574,-8.6984,8.8058,1.4214,1.4723,10.6409,-0.3555,2.9117,0.2547,6.0875,2.6614,1.7258,-1.1218,1.5543,5.9755,-10.2264,-0.4869,-1.93
40,-1.3415,-9.7192,3.8178,-4.0659,-0.9727,-2.3567,-8.1872,-2.0679,-9.046,-4.5494,-1.4122,0.1409,0.4409,-0.5236,10.8534,2.342,-5.9432,-2.8957,-3.1216,-0.7214,-2.8512,-4.1111,8.4114,0.3861,-1.5194,-1.0948,-0.9174,7.1313,2.5596,5.7841,-15.4217,1.801,5.467,10.0389,0.3197,-8.411,3.1186,-2.8211,-8.7845,-2.9184,5.4563,6.1862,3.7853,-5.0619,12.7644,-5.6665,-0.207,-7.0418,6.77,2.4151,4.6276,0.6397,-0.1514,1.0632,-9.2492,5.1643,4.7622,-1.7654,0.1357,1.6981,8.0521,2.3625,0.4172,-2.339,-7.3093,-2.7715,0.5687,-1.0475,0.5932,3.9441,2.3959,1.5971,3.5036,1.1555,0.0709,2.5752,-8.4107,6.4933,-6.215,4.4175,0.2988,5.7765,0.4142,-4.4814,5.6086,1.1664,0.8376,0.6522,5.2545,4.3384,1.4026,-7.5013,-1.7656,0.7848,9.2328,2.1821,-0.1988,6.2428,-0.2927,0.1255,1.0521,-7.2217,5.0561,2.3985,-1.1424,-5.4395,1.3405,7.2734,-2.932,-5.0333,2.3762,-7.7061,-10.8282,-1.9443,-3.1709,-1.1042,-2.4753,1.9443,-0.8213,-2.7104,-2.0034,3.4435,5.0798,4.8089,3.7745,-16.2005,-4.7193,-1.2818,1.3212,-7.7943,7.4051,1.8119,-2.8101,1.1142,-1.4348,-3.5007,2.829,-1.9692,-6.7581,-2.8744,-0.2713,-5.0963,6.6097,-5.1419,9.0924,4.7795,-4.3991,0.9607,6.2214,-0.6422
